"Terrance",87.186
"Rene",87.239
"Eduardo",87.291
"Terrence",87.343
"Enrique",87.394
"Freddie",87.445
"Wade",87.494
"Austin",87.542
"Stuart",87.591
"Fredrick",87.638
"Arturo",87.687
"Alejandro",87.735
"Jackie",87.781
"Joey",87.829
"Nick",87.876
"Luther",87.923
"Wendell",87.969
"Jeremiah",88.017
"Evan",88.063
"Julius",88.109
"Dana",88.155
"Donnie",88.201
"Otis",88.246
"Shannon",88.290
"Trevor",88.336
"Oliver",88.380
"Luke",88.424
"Homer",88.469
"Gerard",88.513
"Doug",88.557
"Kenny",88.600
"Hubert",88.645
"Angelo",88.688
"Shaun",88.730
"Lyle",88.773
"Matt",88.815
"Lynn",88.857
"Alfonso",88.899
"Orlando",88.940
"Rex",88.981
"Carlton",89.022
"Ernesto",89.063
"Cameron",89.104
"Neal",89.144
"Pablo",89.185
"Lorenzo",89.225
"Omar",89.264
"Wilbur",89.304
"Blake",89.344
"Grant",89.384
"Horace",89.424
"Roderick",89.463
"Kerry",89.502
"Abraham",89.541
"Willis",89.580
"Rickey",89.619
"Jean",89.656
"Ira",89.695
"Andres",89.734
"Cesar",89.771
"Johnathan",89.809
"Malcolm",89.847
"Rudolph",89.884
"Damon",89.922
"Kelvin",89.960
"Rudy",89.997
"Preston",90.034
"Alton",90.071
"Archie",90.108
"Marco",90.145
"Wm",90.181
"Pete",90.216
"Randolph",90.252
"Garry",90.288
"Geoffrey",90.324
"Jonathon",90.359
"Felipe",90.395
"Bennie",90.430
"Gerardo",90.466
"Ed",90.500
"Dominic",90.535
"Robin",90.571
"Loren",90.605
"Delbert",90.640
"Colin",90.675
"Guillermo",90.709
"Earnest",90.743
"Lucas",90.778
"Benny",90.811
"Noel",90.844
"Spencer",90.877
"Rodolfo",90.909
"Myron",90.943
"Edmund",90.975
"Garrett",91.008
"Salvatore",91.040
"Cedric",91.072
"Lowell",91.104
"Gregg",91.135
"Sherman",91.167
"Wilson",91.198
"Devin",91.229
"Sylvester",91.260
"Kim",91.291
"Roosevelt",91.322
"Israel",91.353
"Jermaine",91.384
"Forrest",91.414
"Wilbert",91.443
"Leland",91.473
"Simon",91.502
"Guadalupe",91.532
"Clark",91.560
"Irving",91.589
"Carroll",91.618
"Bryant",91.647
"Owen",91.674
"Rufus",91.703
"Woodrow",91.731
"Sammy",91.758
"Kristopher",91.786
"Mack",91.814
"Levi",91.842
"Marcos",91.869
"Gustavo",91.897
"Jake",91.923
"Lionel",91.951
"Marty",91.978
"Taylor",92.004
"Ellis",92.032
"Dallas",92.058
"Gilberto",92.085
"Clint",92.112
"Nicolas",92.138
"Laurence",92.165
"Ismael",92.190
"Orville",92.217
"Drew",92.243
"Jody",92.269
"Ervin",92.295
"Dewey",92.321
